City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.4112,100.3354,29.41,86,20,1.54,MY,1693100663
1,waingapu,-9.6567,120.2641,28.21,59,4,7.39,ID,1693100939
2,yellowknife,62.456,-114.3525,15.79,75,75,3.6,CA,1693100940
3,mangalia,43.8,28.5833,23.55,72,0,2.25,RO,1693100940
4,beau vallon,-20.4189,57.6953,22.34,88,40,4.12,MU,1693100941
5,goure,13.9835,10.2704,30.2,47,100,1.37,NE,1693100941
6,antalaha,-14.9003,50.2788,20.53,89,34,2.75,MG,1693100942
7,iqaluit,63.7506,-68.5145,5.85,87,100,6.69,CA,1693100942
8,port augusta,-32.5,137.7667,15.52,62,40,4.76,AU,1693100943
9,ribeira grande,38.5167,-28.7,22.65,88,46,4.47,PT,1693100943
10,menongue,-14.6585,17.691,15.36,27,4,1.29,AO,1693100944
11,kodiak,57.79,-152.4072,14.73,88,75,6.17,US,1693100944
12,tiksi,71.6872,128.8694,16.25,76,34,5.2,RU,1693100945
13,isafjordur,66.0755,-23.124,10.3,89,100,2.25,IS,1693100945
14,puerto natales,-51.7236,-72.4875,1.88,98,100,1.26,CL,1693100946
15,usogorsk,63.4106,48.6872,5.5,96,100,2.27,RU,1693100946
16,howrah,22.5892,88.3103,29.0,89,40,3.09,IN,1693100947
17,tralee,52.2704,-9.7026,13.58,94,100,5.23,IE,1693100947
18,waitangi,-43.9535,-176.5597,9.34,78,100,1.34,NZ,1693100948
19,codrington,-38.2667,141.9667,13.43,69,100,3.81,AU,1693100949
20,hammerfest,70.6634,23.6821,7.25,93,100,1.03,NO,1693100949
21,hawaiian paradise park,19.5933,-154.9731,26.73,82,40,5.66,US,1693100950
22,kirensk,57.7853,108.1119,22.78,59,2,1.21,RU,1693100950
23,adamstown,-25.066,-130.1015,19.4,57,92,5.34,PN,1693100951
24,bargaal,11.2864,51.0773,26.83,69,47,7.89,SO,1693100951
25,ushuaia,-54.8,-68.3,5.81,61,20,3.6,AR,1693100952
26,whitehorse,60.7161,-135.0538,27.23,36,20,5.14,CA,1693100824
27,murghob,38.1702,73.9667,4.97,89,98,0.19,TJ,1693100953
28,port-aux-francais,-49.35,70.2167,4.91,95,100,19.26,TF,1693100953
29,yemetsk,63.4721,41.7941,8.37,94,100,4.38,RU,1693100954
30,grytviken,-54.2811,-36.5092,-5.83,84,50,4.21,GS,1693100954
31,kalasin,16.5,103.5,27.67,99,100,3.79,TH,1693100955
32,mahanoro,-19.9,48.8,19.04,92,5,1.41,MG,1693100955
33,kitee,62.1,30.15,8.74,80,7,0.42,FI,1693100957
34,blackmans bay,-43.0167,147.3167,11.96,62,1,1.58,AU,1693100958
